S.No,Name of City,State,
616,Wani,Maharashtra,
617,Lonavla,Maharashtra,
618,Talegaon Dabhade,Maharashtra,
619,Anjangaon,Maharashtra,
620,Umred,Maharashtra,
621,Palghar,Maharashtra,
622,Shegaon,Maharashtra,
623,Ozar,Maharashtra,
624,Phaltan,Maharashtra,
625,Yevla,Maharashtra,
626,Shahade,Maharashtra,
627,Vita,Maharashtra,
628,Umarkhed,Maharashtra,
629,Warora,Maharashtra,
630,Pachora,Maharashtra,
631,Tumsar,Maharashtra,
632,Manjlegaon,Maharashtra,
633,Sillod,Maharashtra,
634,Arvi,Maharashtra,
635,Nandura,Maharashtra,
636,Vaijapur,Maharashtra,
637,Wadgaon Road,Maharashtra,
638,Sailu,Maharashtra,
639,Murtijapur,Maharashtra,
640,Tasgaon,Maharashtra,
641,Mehkar,Maharashtra,
642,Yawal,Maharashtra,
643,Pulgaon,Maharashtra,
644,Nilanga,Maharashtra,
645,Wai,Maharashtra,
646,Umarga,Maharashtra,
647,Paithan,Maharashtra,
648,Rahuri,Maharashtra,
649,Nawapur,Maharashtra,
650,Tuljapur,Maharashtra,
651,Morshi,Maharashtra,
652,Purna,Maharashtra,
653,Satana,Maharashtra,
654,Pathri,Maharashtra,
655,Sinnar,Maharashtra,
656,Uchgaon,Maharashtra,
657,Uran,Maharashtra,
658,Pen,Maharashtra,
659,Karjat,Maharashtra,
660,Manwath,Maharashtra,
661,Partur,Maharashtra,
662,Sangole,Maharashtra,
663,Mangrulpir,Maharashtra,
664,Risod,Maharashtra,
665,Shirur,Maharashtra,
666,Savner,Maharashtra,
667,Sasvad,Maharashtra,
668,Pandharkaoda,Maharashtra,
669,Talode,Maharashtra,
670,Shrigonda,Maharashtra,
671,Shirdi,Maharashtra,
672,Raver,Maharashtra,
673,Mukhed,Maharashtra,
674,Rajura,Maharashtra,
675,Vadgaon Kasba,Maharashtra,
676,Tirora,Maharashtra,
677,Mahad,Maharashtra,
678,Lonar,Maharashtra,
679,Sawantwadi,Maharashtra,
680,Pathardi,Maharashtra,
681,Pauni,Maharashtra,
682,Ramtek,Maharashtra,
683,Mul,Maharashtra,
684,Soyagaon,Maharashtra,
685,Mangalvedhe,Maharashtra,
686,Narkhed,Maharashtra,
687,Shendurjana,Maharashtra,
688,Patur,Maharashtra,
689,Mhaswad,Maharashtra,
690,Loha,Maharashtra,
691,Nandgaon,Maharashtra,
692,Warud,Maharashtra,
693,Imphal,Manipur,
694,Thoubal,Manipur,
695,Lilong,Manipur,
696,Mayang Imphal,Manipur,
697,Shillong,Meghalaya,
698,Tura,Meghalaya,
699,Nongstoin,Meghalaya,
700,Aizawl,Mizoram,
701,Lunglei,Mizoram,
702,Saiha,Mizoram,
703,Dimapur,Nagaland,
704,Kohima,Nagaland,
705,Zunheboto,Nagaland,
706,Tuensang,Nagaland,
707,Wokha,Nagaland,
708,Mokokchung,Nagaland,
709,Bhubaneswar,Odisha,
710,Cuttack,Odisha,
711,Raurkela,Odisha,
712,Brahmapur,Odisha,
713,Sambalpur,Odisha,
714,Puri,Odisha,
715,Baleshwar Town,Odisha,
716,Baripada Town,Odisha,
717,Bhadrak,Odisha,
718,Balangir,Odisha,
719,Jharsuguda,Odisha,
720,Bargarh,Odisha,
721,Paradip,Odisha,
722,Bhawanipatna,Odisha,
723,Dhenkanal,Odisha,
724,Barbil,Odisha,
725,Kendujhar,Odisha,
726,Sunabeda,Odisha,
727,Rayagada,Odisha,
728,Jatani,Odisha,
729,Byasanagar,Odisha,
730,Kendrapara,Odisha,
731,Rajagangapur,Odisha,
732,Parlakhemundi,Odisha,
733,Talcher,Odisha,
734,Sundargarh,Odisha,
735,Phulabani,Odisha,
736,Pattamundai,Odisha,
737,Titlagarh,Odisha,
738,Nabarangapur,Odisha,
739,Soro,Odisha,
740,Malkangiri,Odisha,
741,Rairangpur,Odisha,
742,Tarbha,Odisha,
743,Pondicherry,Puducherry,
744,Karaikal,Puducherry,
745,Yanam,Puducherry,
746,Mahe,Puducherry,
747,Ludhiana,Punjab,
748,Patiala,Punjab,
749,Amritsar,Punjab,
750,Jalandhar,Punjab,
751,Bathinda,Punjab,
752,Pathankot,Punjab,
753,Hoshiarpur,Punjab,
754,Batala,Punjab,
755,Moga,Punjab,
756,Malerkotla,Punjab,
757,Khanna,Punjab,
758,Mohali,Punjab,
759,Barnala,Punjab,
760,Firozpur,Punjab,
761,Phagwara,Punjab,
762,Kapurthala,Punjab,
763,Zirakpur,Punjab,
764,Kot Kapura,Punjab,
765,Faridkot,Punjab,
766,Muktsar,Punjab,
767,Rajpura,Punjab,
768,Sangrur,Punjab,
769,Fazilka,Punjab,
770,Gurdaspur,Punjab,
771,Kharar,Punjab,
772,Gobindgarh,Punjab,
773,Mansa,Punjab,
774,Malout,Punjab,
775,Nabha,Punjab,
776,Tarn Taran,Punjab,
777,Jagraon,Punjab,
778,Sunam,Punjab,
779,Dhuri,Punjab,
780,Firozpur Cantt.,Punjab,
781,Sirhind Fatehgarh Sahib,Punjab,
782,Rupnagar,Punjab,
783,Jalandhar Cantt.,Punjab,
784,Samana,Punjab,
785,Nawanshahr,Punjab,
786,Rampura Phul,Punjab,
787,Nangal,Punjab,
788,Nakodar,Punjab,
789,Zira,Punjab,
790,Patti,Punjab,
791,Raikot,Punjab,
792,Longowal,Punjab,
793,Urmar Tanda,Punjab,
794,"Morinda, India",Punjab,
795,Phillaur,Punjab,
796,Pattran,Punjab,
797,Qadian,Punjab,
798,Sujanpur,Punjab,
799,Mukerian,Punjab,
800,Talwara,Punjab,
801,Jaipur,Rajasthan,
802,Jodhpur,Rajasthan,
803,Bikaner,Rajasthan,
804,Udaipur,Rajasthan,
805,Ajmer,Rajasthan,
806,Bhilwara,Rajasthan,
807,Alwar,Rajasthan,
808,Bharatpur,Rajasthan,
809,Pali,Rajasthan,
810,Barmer,Rajasthan,
811,Sikar,Rajasthan,
812,Tonk,Rajasthan,
813,Sadulpur,Rajasthan,
814,Sawai Madhopur,Rajasthan,
815,Nagaur,Rajasthan,
816,Makrana,Rajasthan,
817,Sujangarh,Rajasthan,
818,Sardarshahar,Rajasthan,
819,Ladnu,Rajasthan,
820,Ratangarh,Rajasthan,
821,Nokha,Rajasthan,
822,Nimbahera,Rajasthan,
823,Suratgarh,Rajasthan,
824,Rajsamand,Rajasthan,
825,Lachhmangarh,Rajasthan,
826,Rajgarh (Churu),Rajasthan,
827,Nasirabad,Rajasthan,
828,Nohar,Rajasthan,
829,Phalodi,Rajasthan,
830,Nathdwara,Rajasthan,
831,Pilani,Rajasthan,
832,Merta City,Rajasthan,
833,Sojat,Rajasthan,
834,Neem-Ka-Thana,Rajasthan,
835,Sirohi,Rajasthan,
836,Pratapgarh,Rajasthan,
837,Rawatbhata,Rajasthan,
838,Sangaria,Rajasthan,
839,Lalsot,Rajasthan,
840,Pilibanga,Rajasthan,
841,Pipar City,Rajasthan,
842,Taranagar,Rajasthan,
843,"Vijainagar, Ajmer",Rajasthan,
844,Sumerpur,Rajasthan,
845,Sagwara,Rajasthan,
846,Ramganj Mandi,Rajasthan,
847,Lakheri,Rajasthan,
848,Udaipurwati,Rajasthan,
849,Losal,Rajasthan,
850,Sri Madhopur,Rajasthan,
851,Ramngarh,Rajasthan,
852,Rawatsar,Rajasthan,
853,Rajakhera,Rajasthan,
854,Shahpura,Rajasthan,
855,Shahpura,Rajasthan,
856,Raisinghnagar,Rajasthan,
857,Malpura,Rajasthan,
858,Nadbai,Rajasthan,
859,Sanchore,Rajasthan,
860,Nagar,Rajasthan,
861,Rajgarh (Alwar),Rajasthan,
862,Sheoganj,Rajasthan,
863,Sadri,Rajasthan,
864,Todaraisingh,Rajasthan,
865,Todabhim,Rajasthan,
866,Reengus,Rajasthan,
867,Rajaldesar,Rajasthan,
868,Sadulshahar,Rajasthan,
869,Sambhar,Rajasthan,
870,Prantij,Rajasthan,
871,Mount Abu,Rajasthan,
872,Mangrol,Rajasthan,
873,Phulera,Rajasthan,
874,Mandawa,Rajasthan,
875,Pindwara,Rajasthan,
876,Mandalgarh,Rajasthan,
877,Takhatgarh,Rajasthan,
878,Chennai,Tamil Nadu,
879,Coimbatore,Tamil Nadu,
880,Madurai,Tamil Nadu,
881,Tiruchirappalli,Tamil Nadu,
882,Salem,Tamil Nadu,
883,Tirunelveli,Tamil Nadu,
884,Tiruppur,Tamil Nadu,
885,Ranipet,Tamil Nadu,
886,Nagercoil,Tamil Nadu,
887,Thanjavur,Tamil Nadu,
888,Vellore,Tamil Nadu,
889,Kancheepuram,Tamil Nadu,
890,Erode,Tamil Nadu,
891,Tiruvannamalai,Tamil Nadu,
892,Pollachi,Tamil Nadu,
893,Rajapalayam,Tamil Nadu,
894,Sivakasi,Tamil Nadu,
895,Pudukkottai,Tamil Nadu,
896,Neyveli (TS),Tamil Nadu,
897,Nagapattinam,Tamil Nadu,
898,Viluppuram,Tamil Nadu,
899,Tiruchengode,Tamil Nadu,
900,Vaniyambadi,Tamil Nadu,
901,Theni Allinagaram,Tamil Nadu,
902,Udhagamandalam,Tamil Nadu,
903,Aruppukkottai,Tamil Nadu,
904,Paramakudi,Tamil Nadu,
905,Arakkonam,Tamil Nadu,
906,Virudhachalam,Tamil Nadu,
907,Srivilliputhur,Tamil Nadu,
908,Tindivanam,Tamil Nadu,
909,Virudhunagar,Tamil Nadu,
910,Karur,Tamil Nadu,
911,Valparai,Tamil Nadu,
912,Sankarankovil,Tamil Nadu,
913,Tenkasi,Tamil Nadu,
914,Palani,Tamil Nadu,
915,Pattukkottai,Tamil Nadu,
916,Tirupathur,Tamil Nadu,
917,Ramanathapuram,Tamil Nadu,
918,Udumalaipettai,Tamil Nadu,
919,Gobichettipalayam,Tamil Nadu,
920,Thiruvarur,Tamil Nadu,
921,Thiruvallur,Tamil Nadu,
922,Panruti,Tamil Nadu,
923,Namakkal,Tamil Nadu,
924,Thirumangalam,Tamil Nadu,
925,Vikramasingapuram,Tamil Nadu,
926,Nellikuppam,Tamil Nadu,
927,Rasipuram,Tamil Nadu,
928,Tiruttani,Tamil Nadu,
929,Nandivaram-Guduvancheri,Tamil Nadu,
930,Periyakulam,Tamil Nadu,
931,Pernampattu,Tamil Nadu,
932,Vellakoil,Tamil Nadu,
933,Sivaganga,Tamil Nadu,
934,Vadalur,Tamil Nadu,
935,Rameshwaram,Tamil Nadu,
936,Tiruvethipuram,Tamil Nadu,
937,Perambalur,Tamil Nadu,
938,Usilampatti,Tamil Nadu,
939,Vedaranyam,Tamil Nadu,
940,Sathyamangalam,Tamil Nadu,
941,Puliyankudi,Tamil Nadu,
942,Nanjikottai,Tamil Nadu,
943,Thuraiyur,Tamil Nadu,
944,Sirkali,Tamil Nadu,
945,Tiruchendur,Tamil Nadu,
946,Periyasemur,Tamil Nadu,
947,Sattur,Tamil Nadu,
948,Vandavasi,Tamil Nadu,
949,Tharamangalam,Tamil Nadu,
950,Tirukkoyilur,Tamil Nadu,
951,Oddanchatram,Tamil Nadu,
952,Palladam,Tamil Nadu,
953,Vadakkuvalliyur,Tamil Nadu,
954,Tirukalukundram,Tamil Nadu,
955,Uthamapalayam,Tamil Nadu,
956,Surandai,Tamil Nadu,
957,Sankari,Tamil Nadu,
958,Shenkottai,Tamil Nadu,
959,Vadipatti,Tamil Nadu,
960,Sholingur,Tamil Nadu,
961,Tirupathur,Tamil Nadu,
962,Manachanallur,Tamil Nadu,
963,Viswanatham,Tamil Nadu,
964,Polur,Tamil Nadu,
965,Panagudi,Tamil Nadu,
966,Uthiramerur,Tamil Nadu,
967,Thiruthuraipoondi,Tamil Nadu,
968,Pallapatti,Tamil Nadu,
969,Ponneri,Tamil Nadu,
970,Lalgudi,Tamil Nadu,
971,Natham,Tamil Nadu,
972,Unnamalaikadai,Tamil Nadu,
973,P.N.Patti,Tamil Nadu,
974,Tharangambadi,Tamil Nadu,
975,Tittakudi,Tamil Nadu,
976,Pacode,Tamil Nadu,
977,O' Valley,Tamil Nadu,
978,Suriyampalayam,Tamil Nadu,
979,Sholavandan,Tamil Nadu,
980,Thammampatti,Tamil Nadu,
981,Namagiripettai,Tamil Nadu,
982,Peravurani,Tamil Nadu,
983,Parangipettai,Tamil Nadu,
984,Pudupattinam,Tamil Nadu,
985,Pallikonda,Tamil Nadu,
986,Sivagiri,Tamil Nadu,
987,Punjaipugalur,Tamil Nadu,
988,Padmanabhapuram,Tamil Nadu,
989,Thirupuvanam,Tamil Nadu,
990,Hyderabad,Telangana,
991,Warangal,Telangana,
992,Nizamabad,Telangana,
993,Karimnagar,Telangana,
994,Ramagundam,Telangana,
995,Khammam,Telangana,
996,Mahbubnagar,Telangana,
997,Mancherial,Telangana,
998,Adilabad,Telangana,
999,Suryapet,Telangana,
1000,Jagtial,Telangana,
1001,Miryalaguda,Telangana,
1002,Nirmal,Telangana,
1003,Kamareddy,Telangana,
1004,Kothagudem,Telangana,
1005,Bodhan,Telangana,
1006,Palwancha,Telangana,
1007,Mandamarri,Telangana,
1008,Koratla,Telangana,
1009,Sircilla,Telangana,
1010,Tandur,Telangana,
1011,Siddipet,Telangana,
1012,Wanaparthy,Telangana,
1013,Kagaznagar,Telangana,
1014,Gadwal,Telangana,
1015,Sangareddy,Telangana,
1016,Bellampalle,Telangana,
1017,Bhongir,Telangana,
1018,Vikarabad,Telangana,
1019,Jangaon,Telangana,
1020,Bhadrachalam,Telangana,
1021,Bhainsa,Telangana,
1022,Farooqnagar,Telangana,
1023,Medak,Telangana,
1024,Narayanpet,Telangana,
1025,Sadasivpet,Telangana,
1026,Yellandu,Telangana,
1027,Manuguru,Telangana,
1028,Kyathampalle,Telangana,
1029,Nagarkurnool,Telangana,
1030,Agartala,Tripura,
1031,Udaipur,Tripura,
1032,Dharmanagar,Tripura,
1033,Pratapgarh,Tripura,
1034,Kailasahar,Tripura,
1035,Belonia,Tripura,
1036,Khowai,Tripura,
1037,Lucknow,Uttar Pradesh,
1038,Kanpur,Uttar Pradesh,
1039,Firozabad,Uttar Pradesh,
1040,Agra,Uttar Pradesh,
1041,Meerut,Uttar Pradesh,
1042,Varanasi,Uttar Pradesh,
1043,Allahabad,Uttar Pradesh,
1044,Amroha,Uttar Pradesh,
1045,Moradabad,Uttar Pradesh,
1046,Aligarh,Uttar Pradesh,
1047,Saharanpur,Uttar Pradesh,
1048,Noida,Uttar Pradesh,
1049,Loni,Uttar Pradesh,
1050,Jhansi,Uttar Pradesh,
1051,Shahjahanpur,Uttar Pradesh,
1052,Rampur,Uttar Pradesh,
1053,Modinagar,Uttar Pradesh,
1054,Hapur,Uttar Pradesh,
1055,Etawah,Uttar Pradesh,
1056,Sambhal,Uttar Pradesh,
1057,Orai,Uttar Pradesh,
1058,Bahraich,Uttar Pradesh,
1059,Unnao,Uttar Pradesh,
1060,Rae Bareli,Uttar Pradesh,
1061,Lakhimpur,Uttar Pradesh,
1062,Sitapur,Uttar Pradesh,
1063,Lalitpur,Uttar Pradesh,
1064,Pilibhit,Uttar Pradesh,
1065,Chandausi,Uttar Pradesh,
1066,Hardoi ,Uttar Pradesh,
1067,Azamgarh,Uttar Pradesh,
1068,Khair,Uttar Pradesh,
1069,Sultanpur,Uttar Pradesh,
1070,Tanda,Uttar Pradesh,
1071,Nagina,Uttar Pradesh,
1072,Shamli,Uttar Pradesh,
1073,Najibabad,Uttar Pradesh,
1074,Shikohabad,Uttar Pradesh,
1075,Sikandrabad,Uttar Pradesh,
1076,"Shahabad, Hardoi",Uttar Pradesh,
1077,Pilkhuwa,Uttar Pradesh,
1078,Renukoot,Uttar Pradesh,
1079,Vrindavan,Uttar Pradesh,
1080,Ujhani,Uttar Pradesh,
1081,Laharpur,Uttar Pradesh,
1082,Tilhar,Uttar Pradesh,
1083,Sahaswan,Uttar Pradesh,
1084,Rath,Uttar Pradesh,
1085,Sherkot,Uttar Pradesh,
1086,Kalpi,Uttar Pradesh,
1087,Tundla,Uttar Pradesh,
1088,Sandila,Uttar Pradesh,
1089,Nanpara,Uttar Pradesh,
1090,Sardhana,Uttar Pradesh,
1091,Nehtaur,Uttar Pradesh,
1092,Seohara,Uttar Pradesh,
1093,Padrauna,Uttar Pradesh,
1094,Mathura,Uttar Pradesh,
1095,Thakurdwara,Uttar Pradesh,
1096,Nawabganj,Uttar Pradesh,
1097,Siana,Uttar Pradesh,
1098,Noorpur,Uttar Pradesh,
1099,Sikandra Rao,Uttar Pradesh,
1100,Puranpur,Uttar Pradesh,
1101,Rudauli,Uttar Pradesh,
1102,Thana Bhawan,Uttar Pradesh,
1103,Palia Kalan,Uttar Pradesh,
1104,Zaidpur,Uttar Pradesh,
1105,Nautanwa,Uttar Pradesh,
1106,Zamania,Uttar Pradesh,
1107,"Shikarpur, Bulandshahr",Uttar Pradesh,
1108,Naugawan Sadat,Uttar Pradesh,
1109,Fatehpur Sikri,Uttar Pradesh,
1110,"Shahabad, Rampur",Uttar Pradesh,
1111,Robertsganj,Uttar Pradesh,
1112,Utraula,Uttar Pradesh,
1113,Sadabad,Uttar Pradesh,
1114,Rasra,Uttar Pradesh,
1115,Lar,Uttar Pradesh,
1116,Lal Gopalganj Nindaura,Uttar Pradesh,
1117,Sirsaganj,Uttar Pradesh,
1118,Pihani,Uttar Pradesh,
1119,"Shamsabad, Agra",Uttar Pradesh,
1120,Rudrapur,Uttar Pradesh,
1121,Soron,Uttar Pradesh,
1122,SUrban Agglomerationr,Uttar Pradesh,
1123,Samdhan,Uttar Pradesh,
1124,Sahjanwa,Uttar Pradesh,
1125,Rampur Maniharan,Uttar Pradesh,
1126,Sumerpur,Uttar Pradesh,
1127,Shahganj,Uttar Pradesh,
1128,Tulsipur,Uttar Pradesh,
1129,Tirwaganj,Uttar Pradesh,
1130,PurqUrban Agglomerationzi,Uttar Pradesh,
1131,"Shamsabad, Farrukhabad",Uttar Pradesh,
1132,Warhapur,Uttar Pradesh,
1133,Powayan,Uttar Pradesh,
1134,Sandi,Uttar Pradesh,
1135,Achhnera,Uttar Pradesh,
1136,Naraura,Uttar Pradesh,
1137,Nakur,Uttar Pradesh,
1138,Sahaspur,Uttar Pradesh,
1139,Safipur,Uttar Pradesh,
1140,Reoti,Uttar Pradesh,
1141,Sikanderpur,Uttar Pradesh,
1142,Saidpur,Uttar Pradesh,
1143,Sirsi,Uttar Pradesh,
1144,Purwa,Uttar Pradesh,
1145,Parasi,Uttar Pradesh,
1146,Lalganj,Uttar Pradesh,
1147,Phulpur,Uttar Pradesh,
1148,Shishgarh,Uttar Pradesh,
1149,Sahawar,Uttar Pradesh,
1150,Samthar,Uttar Pradesh,
1151,Pukhrayan,Uttar Pradesh,
1152,Obra,Uttar Pradesh,
1153,Niwai,Uttar Pradesh,
1154,Dehradun,Uttarakhand,
1155,Hardwar,Uttarakhand,
1156,Haldwani-cum-Kathgodam,Uttarakhand,
1157,Srinagar,Uttarakhand,
1158,Kashipur,Uttarakhand,
1159,Roorkee,Uttarakhand,
1160,Rudrapur,Uttarakhand,
1161,Rishikesh,Uttarakhand,
1162,Ramnagar,Uttarakhand,
1163,Pithoragarh,Uttarakhand,
1164,Manglaur,Uttarakhand,
1165,Nainital,Uttarakhand,
1166,Mussoorie,Uttarakhand,
1167,Tehri,Uttarakhand,
1168,Pauri,Uttarakhand,
1169,Nagla,Uttarakhand,
1170,Sitarganj,Uttarakhand,
1171,Bageshwar,Uttarakhand,
1172,Kolkata,West Bengal,
1173,Siliguri,West Bengal,
1174,Asansol,West Bengal,
1175,Raghunathganj,West Bengal,
1176,Kharagpur,West Bengal,
1177,Naihati,West Bengal,
1178,English Bazar,West Bengal,
1179,Baharampur,West Bengal,
1180,Hugli-Chinsurah,West Bengal,
1181,Raiganj,West Bengal,
1182,Jalpaiguri,West Bengal,
1183,Santipur,West Bengal,
1184,Balurghat,West Bengal,
1185,Medinipur,West Bengal,
1186,Habra,West Bengal,
1187,Ranaghat,West Bengal,
1188,Bankura,West Bengal,
1189,Nabadwip,West Bengal,
1190,Darjiling,West Bengal,
1191,Purulia,West Bengal,
1192,Arambagh,West Bengal,
1193,Tamluk,West Bengal,
1194,AlipurdUrban Agglomerationr,West Bengal,
1195,Suri,West Bengal,
1196,Jhargram,West Bengal,
1197,Gangarampur,West Bengal,
1198,Rampurhat,West Bengal,
1199,Kalimpong,West Bengal,
1200,Sainthia,West Bengal,
1201,Taki,West Bengal,
1202,Murshidabad,West Bengal,
1203,Memari,West Bengal,
1204,Paschim Punropara,West Bengal,
1205,Tarakeswar,West Bengal,
1206,Sonamukhi,West Bengal,
1207,PandUrban Agglomeration,West Bengal,
1208,Mainaguri,West Bengal,
1209,Malda,West Bengal,
1210,Panchla,West Bengal,
1211,Raghunathpur,West Bengal,
1212,Mathabhanga,West Bengal,
1213,Monoharpur,West Bengal,
1214,Srirampore,West Bengal,
1215,Adra,West Bengal,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,
